stations	DIST	bathy	S8	S2	Ssummer	Swinter	T8	T2	Tsummer	Twinter	DO	N	P	S	SeaIce1	SeaIce2	SeaIce3	SeaIce4	SeaIce5	SeaIce6	SeaIce7	SeaIce8	SeaIce9	SeaIce10	SeaIce11	SeaIce12	SeaIceC	SeaIcemonths	ProdJanC	ProdFevC	ProdMarC	ProdAprC	ProdMayC	ProdJunC	ProdJulC	ProdAugC	ProdSepC	ProdOctC	ProdNovC	ProdDecC	ProdWC	ProdSprC	ProdSumC	ProdfallC	PPA0207	gCYC0217
15	0.0595590936399	100	27.64	29.09	27.24	29.3321990966796	9.94439983367919	-0.64	8.76	-0.63	7.28733205795288	3.51945424079895	0.692369520664215	4.34256935119628	45.4136208501	52.1148276493	43.2989653883	37.6603450775	13.3563792459	0	0	0	0	0	0	7.5574137589	16.6167959975	3.46	301	355	613	1523	4713	9002	9959	8817	5315	2214	915	765	423	5079.33333333333	8030.33333333333	1298	526.83	1353.29833333333
16	0.169880444744	277	27.59	29.09	27.14	29.509199142456	10.0823001861572	-0.63	8.62	-0.62	7.28733205795288	3.51945424079895	0.692369520664215	4.34256935119628	45.568965583	52.4827586207	43.6206895894	37.0000000658	12.5000000658	0	0	0	0	0	0	7.05172413793	16.5186781719	3.51	356	386	716	1624	4786	6806	6593	5907	4039	1769	820	751	486	4405.33333333333	5513	1113.33333333333	526.83	1050.98708333333
17	0.039988509959	15	27.66	29.09	27.27	29.2556991577148	10.234299659729	-0.7	8.61	-0.53	7.28733205795288	3.51945424079895	0.692369520664215	4.34256935119628	45.568965583	52.4827586207	43.6206895894	37.0000000658	12.5000000658	0	0	0	0	0	0	7.05172413793	16.5186781719	3.41	363	392	740	1879	5104	7736	7795	7047	4571	1965	947	770	498.333333333333	4906.33333333333	6471	1227.33333333333	526.83	1195.64875
18	0.0361105346679	80	27.72	28.5129	27.17	29.3010997772216	11.6070003509521	-1.41	10.23	-1.13	7.28733205795288	3.51945424079895	0.692369520664215	4.34256935119628	45.3275862727	53.3275862069	46.206896486	37.7241379968	12.6896552382	0	0	0	0	0	0	8.10344827586	16.948275873	3.59	255	341	598	1550	5069	8435	9525	8879	5679	2238	1060	819	398	5018	8027.66666666667	1372.33333333333	526.83	1351.96
19	0.234337324581	274	27.59	28.8363	27.16	29.6033000946044	11.6836004257202	-1.37	9.97	-1.08	7.28733205795288	3.51945424079895	0.692369520664215	4.34256935119628	42.6206896552	50.5517241379	41.9827584234	35.2931035798	11.9655173071	0	0	0	0	0	0	6.05172407216	15.7054597646	3.46	285	333	609	1366	4422	6194	5658	5450	3619	1555	860	636	409	3994	4909	1017	526.83	942.52125
20	0.0337041214256	105	27.43	28.4035	27.13	29.2740993499755	11.5152997970581	-1.18	10.18	-0.93	7.28733205795288	3.51945424079895	0.692369520664215	4.34256935119628	42.6206896552	50.5517241379	41.9827584234	35.2931035798	11.9655173071	0	0	0	0	0	0	6.05172407216	15.7054597646	3.41	315	361	683	1542	4430	6361	6218	5805	4108	1841	908	837	453	4111	5377	1195.33333333333	526.83	1016.19041666667
21	0.209324540121	268	27.95	29.5989	27.53	30.1842002868652	12.1041002273559	-1.47	10.42	-1.16	7.28733205795288	3.51945424079895	0.692369520664215	4.34256935119628	44.9482758621	53.5862068966	46.3103448276	37.6551724796	11.9655172414	0	0	0	0	0	0	6.9482757963	16.7844827586	3.46	247	221	702	1832	4064	6237	5372	5140	3608	1499	758	728	390	4044.33333333333	4706.66666666667	995	526.83	924.91
22	0.175578946371	221	29.07	31.63	29.43	31.0846996307373	12.91219997406	-0.76	12.78	-1.01	7.28733205795288	3.51945424079895	0.692369520664215	4.34256935119628	35.0172413793	48.9827586207	35.5000000658	8.75862075543	4.22413796392	0	0	0	0	0	0	3.01724131354	11.2916666749	3.21	152	192	294	1197	2955	3429	3392	3445	2430	1367	551	269	212.666666666667	2527	3089	729	366.07	598.387083333333
23	0.090105518504	257	27.94	30.69	28.61	30.8260993957519	12.8687000274658	-0.99	11.19	-1.09	7.28733205795288	3.51945424079895	0.692369520664215	4.34256935119628	40.5862068308	52.6206897209	43.1206896552	18.2758620032	8.18965517241	0	0	0	0	0	0	5.41379310345	14.0172413738	3.38	128	198	553	1692	3706	5571	5361	4573	3375	1636	659	480	293	3656.33333333333	4436.33333333333	925	435.46	849.598333333333
24	0.11636947864	215	29.17	31.71	29.38	31.1333999633789	13.0567998886108	-0.94	13.18	-1.1	7.28733205795288	3.51945424079895	0.692369520664215	4.34256935119628	31.6379309687	47.0172414451	35.2586206239	7.58620692944	3.79310344828	0	0	0	0	0	0	1.49999993423	10.5660919458	3.18	151	188	297	1236	2481	2841	2842	2758	2000	1149	486	480	212	2186	2533.33333333333	705	376.15	514.315416666667
25	0.39336684799	337	28.49	30.79	28.85	30.9869995117187	13.0601997375488	-1.01	12.26	-1.13	7.28733205795288	3.51945424079895	0.692369520664215	4.34256935119628	32.4482758621	47.9827586207	36.0172413793	6.25862068966	4.36206893263	0	0	0	0	0	0	1.68965517241	10.7298850547	3.18	135	195	428	1329	1789	2114	2442	2422	1640	970	376	578	252.666666666667	1744	2168	641.333333333333	376.15	438.5475
26	0.0156399659545	93	27.92	30.56	28.58	30.8376007080078	13.0712003707885	-1.04	11.13	-1.16	7.28733205795288	3.51945424079895	0.692369520664215	4.34256935119628	40.5862068308	52.6206897209	43.1206896552	18.2758620032	8.18965517241	0	0	0	0	0	0	5.41379310345	14.0172413738	3.56	155	191	782	1761	4678	7412	8775	8425	5605	2435	904	667	376	4617	7601.66666666667	1335.33333333333	435.46	1271.1125
27	0.235548438303	326	28.56	31	28.7	30.9804992675781	12.9826002120971	-0.97	11.87	-0.64	7.28733205795288	3.51945424079895	0.692369520664215	4.34256935119628	31.0172413135	47.4137931034	37.1206895894	13.2586208048	5.10344827586	0	0	0	0	0	0	1.5	11.2844827572	3.1	214	229	401	1282	2585	3441	3724	3492	2434	1318	495	865	281.333333333333	2436	3216.66666666667	892.666666666667	418.93	622.933333333333
28	0.392503204608	337	28.8	31.13	28.94	30.9533996582031	13.8404998779296	-0.71	12.23	-0.47	7.28733205795288	3.51945424079895	0.692369520664215	4.34256935119628	29.2241378981	46.7068965517	38.3620689326	13.3620690313	4.98275862069	0	0	0	0	0	0	2.10344827586	11.2284482759	3.03	177	224	391	1037	2115	2965	3386	3279	2011	1089	466	340	264	2039	2892	631.666666666667	368.15	531.683333333333
29	0.395111314613	281	29.1	31.36	29.07	30.9263000488281	14.2751998901367	-0.43	12.28	-0.49	7.28733205795288	3.51945424079895	0.692369520664215	4.34256935119628	21.8448275369	45.0862068308	35.7068966175	5.10344827586	1.6724137931	0	0	0	0	0	0	0	9.11781608785	3.03	145	182	360	783	1455	2189	2761	2875	1942	1003	484	301	229	1475.66666666667	2526	596	368.15	440.433333333333
30	0.411590202796	334	29.39	31.37	29.33	31.1347007751464	14.3472995758056	-0.18	12.67	-0.3	7.28733205795288	3.51945424079895	0.692369520664215	4.34256935119628	20.1896552053	44.578241414	35.8196206257	3.10344830875	0	0	0	0	0	0	0	0.706896551724	8.69982184212	2.77	148	189	318	672	1309	1824	2489	2842	1830	934	606	258	218.333333333333	1268.33333333333	2387	599.333333333333	310.64	408.16125
31	0.498843111407	425	29.86	31.82	29.86	31.4864997863769	15.2718000411987	0.07	13.73	-0.19	7.33499097824096	2.75347971916198	0.650375664234161	3.79198765754699	13.5903965687	41.8433275552	34.8283620538	2.72013795787	0.131534485981	0	0	0	0	0	0	0	7.75947988513	2.56	176	141	250	504	821	1172	1748	2231	1535	884	383	272	189	832.333333333333	1838	513	282.53	307.725416666667
32	0.619876818927	410	29.9	31.78	29.94	31.5506992340087	15.7231998443603	0.01	14.34	-0.31	7.3740267753601	2.08884906768798	0.61642575263977	3.26129460334777	8.34517239702	43.0312413183	39.8560517739	3.54791381441	0.242913805205	0	0	0	0	0	0	0	7.91860775907	2.54	164	149	235	505	785	986	1616	2046	1466	864	381	277	182.666666666667	758.666666666667	1709.33333333333	507.333333333333	316.86	288.1675
33	0.789124471564	432	30.19	31.89	30.16	31.6611995697021	16.1975994110107	0.03	14.87	0	7.40089845657348	1.92624366283416	0.591865360736846	2.91023349761962	4.71567252587	40.6043448941	38.5149655671	6.19113795511	0.558741372207	0	0	0	0	0	0	0	7.5487385262	2.39	148	141	247	516	812	965	1391	1778	1449	851	364	365	178.666666666667	764.333333333333	1539.33333333333	526.666666666667	289.15	274.57125
34	0.662888687408	488	30.49	31.88	30.57	31.6455993652343	16.3938007354736	0.2	14.52	0.36	7.3171100616455	1.88052022457122	0.575850963592529	3.06243300437927	2.22641379258	29.2999827944	31.8154482019	8.39225869343	0.52627590607	0	0	0	0	0	0	0	6.02169828237	2.13	148	141	228	628	699	871	1245	1705	1383	833	378	370	172.333333333333	732.666666666667	1444.33333333333	527	279.38	262.465416666667
35	0.312684839613	464	30.55	31.17	30.55	31.5408992767333	16.5207004547119	0.02	13.97	0.16	7.43759679794311	1.53925430774688	0.559816539287567	2.44171500205993	2.96549991082	27.6034826739	26.3260343486	7.53248278848	0.428982767565	0	0	0	0	0	0	0	5.40470687411	1.72	182	161	259	759	690	887	1340	1703	1401	846	377	227	200.666666666667	778.666666666667	1481.33333333333	483.333333333333	323.38	268.64
37	0.041321207493	61	29.36	32.14	29.9	31.4442996978759	12.7123003005981	-0.16	10.42	-0.38	7.28733205795288	3.51945424079895	0.692369520664215	4.34256935119628	35.5517240722	48.9310344828	43.9482758621	32.741379113	11.0517240722	0	0	0	0	0	0	4.94827586207	14.7643677887	3.39	172	222	278	984	2445	3169	3378	3105	2029	1149	721	0	224	2199.33333333333	2837.33333333333	623.333333333333	334.75	536.915
38	0.0361799948173	93	29.39	32.04	29.82	31.4442996978759	12.7123003005981	-0.23	10.5	-0.42	7.28733205795288	3.51945424079895	0.692369520664215	4.34256935119628	35.5517240722	48.9310344828	43.9482758621	32.741379113	11.0517240722	0	0	0	0	0	0	4.94827586207	14.7643677887	3.39	172	222	278	984	2445	3169	3378	3105	2029	1149	721	0	224	2199.33333333333	2837.33333333333	623.333333333333	334.75	536.915
39	0.0301768465245	44	29.36	32.14	29.9	31.4587001800537	12.7166996002197	-0.16	10.38	-0.38	7.28733205795288	3.51945424079895	0.692369520664215	4.34256935119628	35.5517240722	48.9310344828	43.9482758621	32.741379113	11.0517240722	0	0	0	0	0	0	4.94827586207	14.7643677887	3.39	172	222	278	984	2445	3169	3378	3105	2029	1149	721	0	224	2199.33333333333	2837.33333333333	623.333333333333	334.75	536.915
40	0.0300429529639	18	30.05	32.36	30.22	32.388801574707	13.5628004074096	-0.44	12.45	-0.3	7.48878049850463	2.13283944129943	0.636663734912872	2.86335849761962	30.3402758631	51.2093275991	43.8287932462	25.8109483554	4.67877587779	0	0	0	0	0	0	3.58620696232	13.2878606587	3.21	139	167	311	1423	4128	5328	6475	7249	4340	2117	1018	352	205.666666666667	3626.33333333333	6021.33333333333	1162.33333333333	268.02	1005.17958333333
41	0.0943501409016	38	30.11	32.36	30.28	32.388801574707	13.5628004074096	-0.19	12.45	-0.15	7.48878049850463	2.13283944129943	0.636663734912872	2.86335849761962	30.3402758631	51.2093275991	43.8287932462	25.8109483554	4.67877587779	0	0	0	0	0	0	3.58620696232	13.2878606587	3.21	138	169	299	1408	3937	4721	5021	5607	3585	1857	946	352	202	3355.33333333333	4737.66666666667	1051.66666666667	268.02	852.883333333333
42	0.182053705858	116	30.16	32.33	30.3	31.8738002777099	13.9064998626708	-0.38	12.57	-0.39	7.48878049850463	2.13283944129943	0.636663734912872	2.86335849761962	23.0365863011	47.3675347032	41.7287587791	15.8040345948	2.49241380856	0	0	0	0	0	0	1.03448275862	10.9553175788	3.13	172	184	280	866	1621	2244	2295	2219	1657	1049	596	352	212	1577	2057	665.666666666667	268.02	411.689583333333
43	0.051117595467	25	30.15	32.36	30.3	32.388801574707	13.5628004074096	-0.24	12.45	-0.13	7.48878049850463	2.13283944129943	0.636663734912872	2.86335849761962	30.3402758631	51.2093275991	43.8287932462	25.8109483554	4.67877587779	0	0	0	0	0	0	3.58620696232	13.2878606587	3.46	138	169	299	1408	3937	4721	5021	5607	3585	1857	946	352	202	3355.33333333333	4737.66666666667	1051.66666666667	268.02	852.883333333333
44	0.0487029979053	48	30.14	32.33	30.29	32.388801574707	13.5628004074096	-0.35	12.49	-0.29	7.48878049850463	2.13283944129943	0.636663734912872	2.86335849761962	30.3402758631	51.2093275991	43.8287932462	25.8109483554	4.67877587779	0	0	0	0	0	0	3.58620696232	13.2878606587	3.28	160	196	308	1132	2559	3273	3348	3366	2389	1430	837	352	221.333333333333	2321.33333333333	3034.33333333333	873	268.02	588.5625
45	0.000414462908684	10	30.15	32.4	30.31	32.388801574707	13.5628004074096	-0.28	12.42	-0.2	7.48878049850463	2.13283944129943	0.636663734912872	2.86335849761962	27.6831378279	52.2511724604	44.5391208057	17.0281724272	2.19501724736	0	0	0	0	0	0	1.36206896552	12.0882241445	3.28	138	169	299	1408	3937	4721	5021	5607	3585	1857	946	352	202	3355.33333333333	4737.66666666667	1051.66666666667	268.02	852.883333333333
46	0.00202130103371	14	30.2	32.35	30.32	32.388801574707	13.5628004074096	-0.45	12.46	-0.34	7.48878049850463	2.13283944129943	0.636663734912872	2.86335849761962	27.6831378279	52.2511724604	44.5391208057	17.0281724272	2.19501724736	0	0	0	0	0	0	1.36206896552	12.0882241445	3.28	155	181	280	1099	2653	3429	3753	3661	2528	1472	824	352	205.333333333333	2393.66666666667	3314	882.666666666667	268.02	620.104583333333
47	0.0938075387218	79	30.26	32.29	30.36	31.941499710083	13.9205999374389	-0.61	12.5	-0.51	7.48878049850463	2.13283944129943	0.636663734912872	2.86335849761962	21.6528620884	49.0571205863	41.5694483231	12.1036896377	1.67989651088	0	0	0	0	0	0	0.603448275862	10.5555387852	3.36	147	169	259	743	1795	2775	3054	2570	1936	1223	643	321	191.666666666667	1771	2520	729	268.02	475.564583333333
48	0.089813343709	58	30.32	32.29	30.41	31.8351993560791	14.186499595642	-0.43	12.37	-0.53	7.48878049850463	2.13283944129943	0.636663734912872	2.86335849761962	26.9864828833	53.2412067939	45.4885517647	14.9080690844	3.26048278809	0	0	0	0	0	0	0	11.9903994429	3.46	165	176	242	655	1354	2127	2236	2073	1562	987	574	284	194.333333333333	1378.66666666667	1957	615	251.93	378.23125
49	0.189914061597	92	30.37	32.28	30.43	31.733600616455	14.2652997970581	-0.47	12.5	-0.52	7.48878049850463	2.13283944129943	0.636663734912872	2.86335849761962	21.8266896873	49.5882413141	42.1102070973	12.3740689508	1.76679310305	0	0	0	0	0	0	0.603448275862	10.6891207024	3.28	164	188	261	652	1141	1685	1874	1916	1455	867	518	284	204.333333333333	1159.33333333333	1748.33333333333	556.333333333333	251.93	334.735416666667
50	0.0628559028274	48	30.35	32.34	30.43	31.8351993560791	14.186499595642	-0.49	12.16	-0.48	7.48878049850463	2.13283944129943	0.636663734912872	2.86335849761962	27.4597930908	54.1141552103	46.8673102609	15.2437413314	3.04855174032	0	0	0	0	0	0	0	12.2277959695	3.49	167	178	241	817	2241	2943	3176	3222	2404	1372	694	279	195.333333333333	2000.33333333333	2934	781.666666666667	251.93	539.409166666667
51	1.05395132003	387	30.27	31.92	30.38	31.7814998626708	15.8270998001098	0.23	14.94	0.05	7.40089845657348	1.92624366283416	0.591865360736846	2.91023349761962	3.08301728347	36.4497758273	37.5505862729	6.60313792064	0.638931077102	0	0	0	0	0	0	0	7.02712069845	2.33	145	138	227	446	717	890	1365	1740	1406	818	332	282	170	684.333333333333	1503.66666666667	477.333333333333	263.24	258.724166666667
52	1.05395132003	387	30.27	31.92	30.38	31.7814998626708	15.8270998001098	0.23	14.94	0.05	7.40089845657348	1.92624366283416	0.591865360736846	2.91023349761962	3.08301728347	36.4497758273	37.5505862729	6.60313792064	0.638931077102	0	0	0	0	0	0	0	7.02712069845	2.33	145	138	227	446	717	890	1365	1740	1406	818	332	282	170	684.333333333333	1503.66666666667	477.333333333333	263.24	258.724166666667
53	0.931217376697	432	30.4	31.91	30.48	31.7777004241943	16.0969009399414	0.08	15.06	0.19	7.40089845657348	1.92624366283416	0.591865360736846	2.91023349761962	3.02036206476	33.6228275628	37.0951552391	8.34965516781	0.72331033904	0	0	0	0	0	0	0	6.90094253113	2.08	141	134	228	554	673	896	1305	1711	1389	814	351	301	167.666666666667	707.666666666667	1468.33333333333	488.666666666667	279.38	258.450416666667
54	0.943825119755	270	30.5	32.22	30.51	31.9071998596191	15.5004997253417	-0.64	13.47	0.03	7.48878049850463	2.13283944129943	0.636663734912872	2.86335849761962	7.53608624689	38.3036378992	39.1231207683	8.02536204766	0.93508621742	0	0	0	0	0	0	0	7.82694109829	2.62	117	129	223	462	639	860	1246	1647	1250	750	361	296	156.333333333333	653.666666666667	1381	469	264.73	242.725
55	0.335775721245	252	30.19	32.33	30.31	31.6389007568359	14.2362003326416	-0.32	12.57	-0.41	7.3740267753601	2.08884906768798	0.61642575263977	3.26129460334777	19.4643448961	46.9476207207	41.3958276058	9.61886210277	2.1201034661	0	0	0	0	0	0	0.896551740581	10.0369425443	2.77	175	171	216	688	881	1358	1798	2132	1433	840	506	352	187.333333333333	975.666666666667	1787.66666666667	566	268.02	320.895833333333
56	0.654021370582	280	30.59	32.25	30.58	31.9162998199462	14.6778001785278	-0.52	12.82	-0.44	7.48878049850463	2.13283944129943	0.636663734912872	2.86335849761962	10.2104655299	44.9213620383	41.161172538	6.83401727676	0.78693102146	0	0	0	0	0	0	0	8.65949570037	2.87	157	159	215	518	642	947	1339	1695	1239	708	415	272	177	702.333333333333	1424.33333333333	465	251.93	252.640833333333
57	0.892961522768	276	30.53	32.07	30.53	31.9302997589111	15.2826995849609	-0.47	13.34	0.17	7.4862937927246	1.59470093250274	0.582300126552581	2.54785275459289	8.89270690392	38.7623103405	38.5045860965	9.49593104165	1.298672413	0	0	0	0	0	0	0	8.07951723296	2.62	126	124	227	418	646	857	1217	1628	1223	717	372	257	159	640.333333333333	1356	448.666666666667	264.73	237.615
58	0.532108777222	263	30.52	32.11	30.51	31.9451999664306	14.7067003250122	-0.86	12.46	0.03	7.4862937927246	1.59470093250274	0.582300126552581	2.54785275459289	13.9640690705	41.2758620361	38.8120516826	15.9329999891	1.25855172914	1.31034482759	0	0	0	0	0	0	9.37948994459	3.08	137	138	212	411	601	1070	1410	1572	1154	735	362	232	162.333333333333	694	1378.66666666667	443	253	244.3675
59	0.532108777222	263	30.52	32.11	30.51	31.9451999664306	14.7067003250122	-0.86	12.46	0.03	7.4862937927246	1.59470093250274	0.582300126552581	2.54785275459289	13.9640690705	41.2758620361	38.8120516826	15.9329999891	1.25855172914	1.31034482759	0	0	0	0	0	0	9.37948994459	3.08	137	138	212	411	601	1070	1410	1572	1154	735	362	232	162.333333333333	694	1378.66666666667	443	253	244.3675
60	0.535792019536	263	30.52	32.11	30.51	31.9451999664306	14.7067003250122	-0.86	12.45	0.03	7.4862937927246	1.59470093250274	0.582300126552581	2.54785275459289	13.9640690705	41.2758620361	38.8120516826	15.9329999891	1.25855172914	1.31034482759	0	0	0	0	0	0	9.37948994459	3.08	137	138	212	411	601	1070	1410	1572	1154	735	362	232	162.333333333333	694	1378.66666666667	443	253	244.3675
61	0.605298497229	292	30.59	31.69	30.68	31.902000427246	14.1726999282836	-0.89	12.48	0.02	7.67466974258422	3.03060913085937	0.557912945747375	3.60041713714599	16.9030862183	45.2094137586	41.4882758897	19.9166895603	4.79393099916	1.88517244931	0	0	0	0	0	1.22413793103	10.9517255672	3.03	113	128	227	522	619	1076	1404	1538	1159	732	326	242	156	739	1367	433.333333333333	253	245.949166666667
62	0.616844037727	386	29.55	31.47	29.46	31.3258991241455	14.9653997421264	-0.14	13.53	-0.24	7.33499097824096	2.75347971916198	0.650375664234161	3.79198765754699	18.1896552053	47.8641207465	39.2951551635	1.6724137931	0	0	0	0	0	0	0	0	8.91844540903	2.82	168	167	287	567	988	1468	2116	2392	1617	864	400	242	207.333333333333	1007.66666666667	2041.66666666667	502	310.64	342.978333333333
63	0.480540115825	404	29.69	31.49	29.59	31.3258991241455	14.9653997421264	-0.26	13.45	-0.28	7.33499097824096	2.75347971916198	0.650375664234161	3.79198765754699	13.4304827986	41.3810172163	34.2616896218	2.24137934323	0	0	0	0	0	0	0	0	7.60954741499	2.74	167	163	285	520	929	1448	2043	2379	1600	817	387	241	205	965.666666666667	2007.33333333333	481.666666666667	310.64	333.944583333333
64	0.480540115825	404	29.69	31.49	29.59	31.3258991241455	14.9653997421264	-0.26	13.45	-0.28	7.33499097824096	2.75347971916198	0.650375664234161	3.79198765754699	13.4304827986	41.3810172163	34.2616896218	2.24137934323	0	0	0	0	0	0	0	0	7.60954741499	2.74	167	163	285	520	929	1448	2043	2379	1600	817	387	241	205	965.666666666667	2007.33333333333	481.666666666667	310.64	333.944583333333
65	0.164571015243	419	30.18	31.45	30.14	31.4444007873535	16.643699645996	-0.08	14.53	0.02	7.3171100616455	1.88052022457122	0.575850963592529	3.06243300437927	3.42531036508	32.063086411	29.0320173461	7.43681036193	0.458517271897	0	0	0	0	0	0	0	6.03464514633	2.54	219	159	268	722	686	947	1393	1848	1462	925	411	256	215.333333333333	785	1567.66666666667	530.666666666667	323.38	282.753333333333
66	0.39128620716	505	30.44	31.66	30.37	31.5988006591796	16.5044002532958	0.05	14.28	0.18	7.43759679794311	1.53925430774688	0.559816539287567	2.44171500205993	3.42531036508	32.063086411	29.0320173461	7.43681036193	0.458517271897	0	0	0	0	0	0	0	6.03464514633	2.21	165	142	264	699	684	897	1324	1699	1423	912	394	289	190.333333333333	760	1482	531.666666666667	279.38	270.465
67	0.203821497102	299	27.93	29.2494	27.33	29.9246006011962	11.8825998306274	-1.43	10.3	-1.13	7.28733205795288	3.51945424079895	0.692369520664215	4.34256935119628	42.913793235	51.0172413793	42.9310343512	34.3793104106	11.4137931034	0	0	0	0	0	0	6.77586213474	15.7859195512	3.49	235	315	622	1445	4350	6040	5547	5220	3378	1514	846	763	390.666666666667	3945	4715	1041	526.83	920.864583333333
68	0.371692271487	354	28.81	31.2	28.94	31.0958003997802	13.3678998947143	-0.86	12.23	-0.54	7.28733205795288	3.51945424079895	0.692369520664215	4.34256935119628	29.2241378981	46.7068965517	38.3620689326	13.3620690313	4.98275862069	0	0	0	0	0	0	2.10344827586	11.2284482759	3.03	151	222	355	1040	2031	3128	3399	3244	1980	1073	475	340	242.666666666667	2066.33333333333	2874.33333333333	629.333333333333	368.15	530.405833333333
